290.940,194.043,94.371,-86.865,22.570,0.127
290.937,149.181,50.554,-100.387,25.176,0.074
293.650,70.483,87.411,-99.238,26.848,-26.009
363.569,70.564,12.828,-105.115,33.799,-37.634
330.082,14.765,12.831,-100.016,41.576,-19.660
330.051,135.208,12.846,-92.869,35.994,-37.383
330.019,182.995,12.851,-104.816,16.599,-8.130
246.776,107.309,12.866,-104.817,16.599,17.153
281.370,107.335,-38.990,-101.300,26.788,-14.066
281.346,107.362,-68.897,-105.128,38.741,5.081
281.295,84.729,115.925,-75.774,20.528,17.108
257.282,50.801,115.932,-104.775,25.959,-25.140
328.589,63.569,6.848,-16.083,81.389,87.113
363.003,63.694,-79.369,92.815,67.669,-175.908
362.930,-1.432,-79.412,134.113,59.591,-153.687
